age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
-0.3386914854736936,4,0.7790395042221875,12,14,4,4,4,4,0,-0.144803531037397,-0.2171270991958307,0.7729297452241753,39
0.4636209494632457,6,-1.4698277170958012,11,9,2,14,0,4,1,-0.144803531037397,-0.2171270991958307,0.7729297452241753,39
-1.2868789085809855,0,0.3584830483607107,15,10,4,0,3,4,0,-0.144803531037397,-0.2171270991958307,-2.051628735222972,39
-0.4845664736440462,1,-1.0061379941792712,9,13,2,1,0,4,1,-0.144803531037397,-0.2171270991958307,-0.437595317824602,39
0.3177459612928931,4,1.2946122502330395,11,9,0,3,1,4,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
-1.068066426325457,4,0.1137834316824161,11,9,4,3,3,4,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
-1.359816402666162,4,-0.1477338979025248,15,10,4,8,3,4,0,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
1.1929958903150089,6,0.1394171866589319,9,13,2,12,0,4,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
1.3388708784853611,4,-0.8836698179283373,11,9,6,10,1,4,0,-0.144803531037397,-0.2171270991958307,1.3378414413136048,39
-0.8492539440699278,4,-0.3162613959878779,6,5,2,5,0,0,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
-0.5575039677292226,4,-1.0157968157810615,15,10,2,8,2,1,1,-0.144803531037397,-0.2171270991958307,-0.8411036721741945,30
0.97418340805948,4,-0.2565092741179797,7,12,2,13,0,4,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
-1.068066426325457,4,0.2422931061509404,9,13,4,4,1,4,0,-0.144803531037397,-0.2171270991958307,0.7729297452241753,39
1.047120902144656,4,0.3453584143018076,6,5,4,3,1,2,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,23
-0.5575039677292226,4,-1.4346771820116393,15,10,2,12,0,4,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
0.536558443548422,4,-1.1057280204400826,7,12,2,3,0,4,1,-0.144803531037397,-0.2171270991958307,0.3694213908745828,39
-0.2657539913885173,4,-0.8761889659034214,15,10,4,8,4,2,0,-0.144803531037397,-0.2171270991958307,-0.276191976084765,39
0.0989334790373641,4,-1.1207938882522868,11,9,2,8,0,2,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
-1.2139414144958094,4,-0.0067624496811026,15,10,4,13,3,4,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
0.7553709258039509,4,-0.4857263679345812,12,14,3,11,1,1,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,19
-1.2139414144958094,4,0.1825883314457569,15,10,4,1,3,4,1,-0.144803531037397,-0.2171270991958307,-1.244612026523787,39
-0.7033789558995752,4,0.0753185950682281,11,9,4,1,1,4,0,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
-1.359816402666162,4,-0.6808250948578003,15,10,4,6,3,4,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
-0.192816497303341,4,-1.4898271594712726,8,11,2,4,5,4,0,-0.144803531037397,-0.2171270991958307,0.7729297452241753,39
-0.4116289795588699,4,1.1356299405541614,11,9,4,8,1,2,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,23
-0.7033789558995752,4,0.0308690768341073,8,11,0,1,1,4,0,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
-1.141003920410633,4,0.1921429892851749,15,10,4,12,3,4,1,-0.144803531037397,-0.2171270991958307,-1.244612026523787,2
1.849433337081596,4,-0.089174924583436,5,4,2,3,0,2,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
-0.1198790032181647,6,-1.0682385354190165,15,10,0,4,4,4,0,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
-0.7033789558995752,4,0.2387894159620557,11,9,4,4,1,4,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
-0.192816497303341,2,1.8273246698705976,9,13,0,1,4,4,0,-0.144803531037397,-0.2171270991958307,-0.437595317824602,16
-1.141003920410633,4,-1.0121605535309757,11,9,2,4,0,4,1,-0.144803531037397,-0.2171270991958307,-0.8411036721741945,39
2.0682458193371245,4,-0.6928039275306087,11,9,2,12,0,4,1,-0.144803531037397,-0.2171270991958307,-0.8411036721741945,39
-1.578628884921691,0,-1.3357026688921183,11,9,4,0,3,4,1,-0.144803531037397,-0.2171270991958307,-2.1323304060928905,39
-0.192816497303341,4,-0.1501864810347441,15,10,4,12,1,4,0,-0.144803531037397,-0.2171270991958307,-0.437595317824602,39
-0.5575039677292226,4,0.6139020631304039,15,10,4,4,3,2,1,-0.144803531037397,-0.2171270991958307,-0.0340869634750095,39
